TAL;BOPKOM;KØN;TID;INDHOLD
Full-time employees;Province Byen København;Total;2017Q2;320794
Full-time employees;Province Byen København;Total;2017Q3;320034
Full-time employees;Province Byen København;Total;2017Q4;326435
Full-time employees;Province Byen København;Total;2018Q1;323118
Full-time employees;Province Byen København;Total;2018Q2;330805
Full-time employees;Province Byen København;Total;2018Q3;329834
Full-time employees;Province Byen København;Total;2018Q4;335646
Full-time employees;Province Byen København;Total;2019Q1;332244
Full-time employees;Province Byen København;Total;2019Q2;338528
Full-time employees;Province Byen København;Total;2019Q3;338258
Full-time employees;Province Byen København;Total;2019Q4;343283
Full-time employees;Province Byen København;Total;2020Q1;338352
Full-time employees;Province Byen København;Total;2020Q2;334892
Full-time employees;Province Byen København;Total;2020Q3;335638
Full-time employees;Province Byen København;Total;2020Q4;342383
Full-time employees;Province Byen København;Total;2021Q1;338632
Full-time employees;Province Byen København;Total;2021Q2;350032
Full-time employees;Province Byen København;Total;2021Q3;353000
Full-time employees;Province Byen København;Total;2021Q4;362397
Full-time employees;Province Byen København;Total;2022Q1;361593
Full-time employees;Province Byen København;Total;2022Q2;368909
Full-time employees;Province Byen København;Total;2022Q3;367446
Full-time employees;Province Byen København;Total;2022Q4;374435
Full-time employees;Province Byen København;Total;2023Q1;371409
Full-time employees;Province Byen København;Total;2023Q2;378013
Full-time employees;Province Byen København;Total;2023Q3;376628
Full-time employees;Province Byen København;Total;2023Q4;380273
Full-time employees;Province Byen København;Total;2024Q1;376840
Full-time employees;Province Byen København;Total;2024Q2;384790
Full-time employees;Province Byen København;Total;2024Q3;381213
Full-time employees;Province Byen København;Total;2024Q4;385891
Full-time employees;Province Byen København;Total;2025Q1;381470
Full-time employees;Province Byen København;Total;2025Q2;388323
Full-time employees;Province Byen København;Total;2025Q3;386427
Full-time employees;Copenhagen;Total;2008Q1;214999
Full-time employees;Copenhagen;Total;2008Q2;218987
Full-time employees;Copenhagen;Total;2008Q3;219035
Full-time employees;Copenhagen;Total;2008Q4;221364
Full-time employees;Copenhagen;Total;2009Q1;216692
Full-time employees;Copenhagen;Total;2009Q2;217221
Full-time employees;Copenhagen;Total;2009Q3;214997
Full-time employees;Copenhagen;Total;2009Q4;215114
Full-time employees;Copenhagen;Total;2010Q1;211563
Full-time employees;Copenhagen;Total;2010Q2;214321
Full-time employees;Copenhagen;Total;2010Q3;213923
Full-time employees;Copenhagen;Total;2010Q4;216521
Full-time employees;Copenhagen;Total;2011Q1;213671
Full-time employees;Copenhagen;Total;2011Q2;217656
Full-time employees;Copenhagen;Total;2011Q3;218476
Full-time employees;Copenhagen;Total;2011Q4;221034
Full-time employees;Copenhagen;Total;2012Q1;218817
Full-time employees;Copenhagen;Total;2012Q2;221608
Full-time employees;Copenhagen;Total;2012Q3;221665
Full-time employees;Copenhagen;Total;2012Q4;224564
Full-time employees;Copenhagen;Total;2013Q1;221682
Full-time employees;Copenhagen;Total;2013Q2;224998
Full-time employees;Copenhagen;Total;2013Q3;226660
Full-time employees;Copenhagen;Total;2013Q4;229070
Full-time employees;Copenhagen;Total;2014Q1;226781
Full-time employees;Copenhagen;Total;2014Q2;231149
