OMRÅDE;KØN;ALDER;CIVILSTAND;TID;INDHOLD
All Denmark;Total;117 years;Total;2011Q1;0
All Denmark;Total;117 years;Total;2015Q1;0
All Denmark;Total;117 years;Total;2019Q1;0
All Denmark;Total;117 years;Total;2022Q1;0
All Denmark;Total;118 years;Total;2008Q1;0
All Denmark;Total;118 years;Total;2011Q1;0
All Denmark;Total;118 years;Total;2015Q1;0
All Denmark;Total;118 years;Total;2019Q1;0
All Denmark;Total;118 years;Total;2022Q1;0
All Denmark;Total;119 years;Total;2008Q1;0
All Denmark;Total;119 years;Total;2011Q1;0
All Denmark;Total;119 years;Total;2015Q1;0
All Denmark;Total;119 years;Total;2019Q1;0
All Denmark;Total;119 years;Total;2022Q1;0
All Denmark;Total;120 years;Total;2008Q1;0
All Denmark;Total;120 years;Total;2011Q1;0
All Denmark;Total;120 years;Total;2015Q1;0
All Denmark;Total;120 years;Total;2019Q1;0
All Denmark;Total;120 years;Total;2022Q1;0
All Denmark;Total;121 years;Total;2008Q1;0
All Denmark;Total;121 years;Total;2011Q1;0
All Denmark;Total;121 years;Total;2015Q1;0
All Denmark;Total;121 years;Total;2019Q1;0
All Denmark;Total;121 years;Total;2022Q1;0
All Denmark;Total;122 years;Total;2008Q1;0
All Denmark;Total;122 years;Total;2011Q1;0
All Denmark;Total;122 years;Total;2015Q1;0
All Denmark;Total;122 years;Total;2019Q1;0
All Denmark;Total;122 years;Total;2022Q1;0
All Denmark;Total;123 years;Total;2008Q1;0
All Denmark;Total;123 years;Total;2011Q1;0
All Denmark;Total;123 years;Total;2015Q1;0
All Denmark;Total;123 years;Total;2019Q1;0
All Denmark;Total;123 years;Total;2022Q1;0
All Denmark;Total;124 years;Total;2008Q1;0
All Denmark;Total;124 years;Total;2011Q1;0
All Denmark;Total;124 years;Total;2015Q1;0
All Denmark;Total;124 years;Total;2019Q1;0
All Denmark;Total;124 years;Total;2022Q1;0
All Denmark;Total;125 years;Total;2008Q1;0
All Denmark;Total;125 years;Total;2011Q1;0
All Denmark;Total;125 years;Total;2015Q1;0
All Denmark;Total;125 years;Total;2019Q1;0
All Denmark;Total;125 years;Total;2022Q1;0
Region Hovedstaden;Total;65 years;Total;2008Q1;17720
Region Hovedstaden;Total;65 years;Total;2011Q1;20900
Region Hovedstaden;Total;65 years;Total;2015Q1;17829
Region Hovedstaden;Total;65 years;Total;2019Q1;17687
Region Hovedstaden;Total;65 years;Total;2022Q1;18175
Region Hovedstaden;Total;66 years;Total;2008Q1;15046
Region Hovedstaden;Total;66 years;Total;2011Q1;19933
Region Hovedstaden;Total;66 years;Total;2015Q1;18956
Region Hovedstaden;Total;66 years;Total;2019Q1;17124
Region Hovedstaden;Total;66 years;Total;2022Q1;17512
Region Hovedstaden;Total;67 years;Total;2008Q1;14941
Region Hovedstaden;Total;67 years;Total;2011Q1;18244
Region Hovedstaden;Total;67 years;Total;2015Q1;20098
Region Hovedstaden;Total;67 years;Total;2019Q1;16788
Region Hovedstaden;Total;67 years;Total;2022Q1;16837
Region Hovedstaden;Total;68 years;Total;2008Q1;13958
Region Hovedstaden;Total;68 years;Total;2011Q1;16835
Region Hovedstaden;Total;68 years;Total;2015Q1;20609
Region Hovedstaden;Total;68 years;Total;2019Q1;17213
Region Hovedstaden;Total;68 years;Total;2022Q1;16850
Region Hovedstaden;Total;69 years;Total;2008Q1;13511
Region Hovedstaden;Total;69 years;Total;2011Q1;14199
Region Hovedstaden;Total;69 years;Total;2015Q1;19637
Region Hovedstaden;Total;69 years;Total;2019Q1;16717
Region Hovedstaden;Total;69 years;Total;2022Q1;16324
Region Hovedstaden;Total;70 years;Total;2008Q1;12605
Region Hovedstaden;Total;70 years;Total;2011Q1;14017
Region Hovedstaden;Total;70 years;Total;2015Q1;18588
Region Hovedstaden;Total;70 years;Total;2019Q1;17693
Region Hovedstaden;Total;70 years;Total;2022Q1;15915
Region Hovedstaden;Total;71 years;Total;2008Q1;11750
Region Hovedstaden;Total;71 years;Total;2011Q1;13098
Region Hovedstaden;Total;71 years;Total;2015Q1;16888
Region Hovedstaden;Total;71 years;Total;2019Q1;18736
Region Hovedstaden;Total;71 years;Total;2022Q1;16297
Region Hovedstaden;Total;72 years;Total;2008Q1;11178
Region Hovedstaden;Total;72 years;Total;2011Q1;12568
Region Hovedstaden;Total;72 years;Total;2015Q1;15502
Region Hovedstaden;Total;72 years;Total;2019Q1;19195
Region Hovedstaden;Total;72 years;Total;2022Q1;15801
Region Hovedstaden;Total;73 years;Total;2008Q1;10632
Region Hovedstaden;Total;73 years;Total;2011Q1;11590
