OMRÅDE;YDELSESTYPE;KØN;ALDER;TID;INDHOLD
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2013Q4;827
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2014Q1;785
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2014Q2;706
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2014Q3;700
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2014Q4;657
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2015Q1;703
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2015Q2;673
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2015Q3;617
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2015Q4;527
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2016Q1;540
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2016Q2;496
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2016Q3;444
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2016Q4;420
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2017Q1;414
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2017Q2;379
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2017Q3;373
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2017Q4;374
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2018Q1;373
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2018Q2;350
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2018Q3;309
Frederiksberg;Net unemployed recipients of social assistance;Total;Age, total;2018Q4;295
