BOPOMR;HERKOMST;HFUDD;ALDER;KØN;TID;INDHOLD
Hillerød;Total;H70 Masters programs;Age, total;Total;2019;3983
Hillerød;Total;H70 Masters programs;Age, total;Total;2022;4696
Hørsholm;Total;H70 Masters programs;Age, total;Total;2008;2795
Hørsholm;Total;H70 Masters programs;Age, total;Total;2011;2864
Hørsholm;Total;H70 Masters programs;Age, total;Total;2015;3117
Hørsholm;Total;H70 Masters programs;Age, total;Total;2019;3304
Hørsholm;Total;H70 Masters programs;Age, total;Total;2022;3503
Rudersdal;Total;H70 Masters programs;Age, total;Total;2008;7007
Rudersdal;Total;H70 Masters programs;Age, total;Total;2011;7489
Rudersdal;Total;H70 Masters programs;Age, total;Total;2015;8430
Rudersdal;Total;H70 Masters programs;Age, total;Total;2019;9119
Rudersdal;Total;H70 Masters programs;Age, total;Total;2022;9933
Bornholm;Total;H70 Masters programs;Age, total;Total;2008;788
Bornholm;Total;H70 Masters programs;Age, total;Total;2011;834
Bornholm;Total;H70 Masters programs;Age, total;Total;2015;915
Bornholm;Total;H70 Masters programs;Age, total;Total;2019;1123
Bornholm;Total;H70 Masters programs;Age, total;Total;2022;1347
Christiansø;Total;H70 Masters programs;Age, total;Total;2008;6
Christiansø;Total;H70 Masters programs;Age, total;Total;2011;6
Christiansø;Total;H70 Masters programs;Age, total;Total;2015;5
Christiansø;Total;H70 Masters programs;Age, total;Total;2019;5
Christiansø;Total;H70 Masters programs;Age, total;Total;2022;10
Region Sjælland;Total;H70 Masters programs;Age, total;Total;2008;22309
Region Sjælland;Total;H70 Masters programs;Age, total;Total;2011;24089
Region Sjælland;Total;H70 Masters programs;Age, total;Total;2015;27768
Region Sjælland;Total;H70 Masters programs;Age, total;Total;2019;32896
Region Sjælland;Total;H70 Masters programs;Age, total;Total;2022;38135
Greve;Total;H70 Masters programs;Age, total;Total;2008;1563
Greve;Total;H70 Masters programs;Age, total;Total;2011;1723
Greve;Total;H70 Masters programs;Age, total;Total;2015;2107
Greve;Total;H70 Masters programs;Age, total;Total;2019;2608
Greve;Total;H70 Masters programs;Age, total;Total;2022;3023
Køge;Total;H70 Masters programs;Age, total;Total;2008;1544
Køge;Total;H70 Masters programs;Age, total;Total;2011;1697
Køge;Total;H70 Masters programs;Age, total;Total;2015;2068
Køge;Total;H70 Masters programs;Age, total;Total;2019;2632
Køge;Total;H70 Masters programs;Age, total;Total;2022;3177
Lejre;Total;H70 Masters programs;Age, total;Total;2008;1246
Lejre;Total;H70 Masters programs;Age, total;Total;2011;1358
Lejre;Total;H70 Masters programs;Age, total;Total;2015;1461
Lejre;Total;H70 Masters programs;Age, total;Total;2019;1709
Lejre;Total;H70 Masters programs;Age, total;Total;2022;2111
Roskilde;Total;H70 Masters programs;Age, total;Total;2008;4849
Roskilde;Total;H70 Masters programs;Age, total;Total;2011;5423
Roskilde;Total;H70 Masters programs;Age, total;Total;2015;6366
Roskilde;Total;H70 Masters programs;Age, total;Total;2019;7366
Roskilde;Total;H70 Masters programs;Age, total;Total;2022;8280
Solrød;Total;H70 Masters programs;Age, total;Total;2008;768
Solrød;Total;H70 Masters programs;Age, total;Total;2011;860
Solrød;Total;H70 Masters programs;Age, total;Total;2015;1040
Solrød;Total;H70 Masters programs;Age, total;Total;2019;1362
Solrød;Total;H70 Masters programs;Age, total;Total;2022;1663
Faxe;Total;H70 Masters programs;Age, total;Total;2008;697
Faxe;Total;H70 Masters programs;Age, total;Total;2011;735
Faxe;Total;H70 Masters programs;Age, total;Total;2015;819
Faxe;Total;H70 Masters programs;Age, total;Total;2019;999
Faxe;Total;H70 Masters programs;Age, total;Total;2022;1146
Guldborgsund;Total;H70 Masters programs;Age, total;Total;2008;1137
Guldborgsund;Total;H70 Masters programs;Age, total;Total;2011;1201
Guldborgsund;Total;H70 Masters programs;Age, total;Total;2015;1290
Guldborgsund;Total;H70 Masters programs;Age, total;Total;2019;1475
Guldborgsund;Total;H70 Masters programs;Age, total;Total;2022;1621
Holbæk;Total;H70 Masters programs;Age, total;Total;2008;1836
Holbæk;Total;H70 Masters programs;Age, total;Total;2011;1954
Holbæk;Total;H70 Masters programs;Age, total;Total;2015;2179
Holbæk;Total;H70 Masters programs;Age, total;Total;2019;2556
Holbæk;Total;H70 Masters programs;Age, total;Total;2022;3126
Kalundborg;Total;H70 Masters programs;Age, total;Total;2008;839
Kalundborg;Total;H70 Masters programs;Age, total;Total;2011;834
Kalundborg;Total;H70 Masters programs;Age, total;Total;2015;997
Kalundborg;Total;H70 Masters programs;Age, total;Total;2019;1151
Kalundborg;Total;H70 Masters programs;Age, total;Total;2022;1296
Lolland;Total;H70 Masters programs;Age, total;Total;2008;567
Lolland;Total;H70 Masters programs;Age, total;Total;2011;567
Lolland;Total;H70 Masters programs;Age, total;Total;2015;590
Lolland;Total;H70 Masters programs;Age, total;Total;2019;634
Lolland;Total;H70 Masters programs;Age, total;Total;2022;700
Næstved;Total;H70 Masters programs;Age, total;Total;2008;1794
Næstved;Total;H70 Masters programs;Age, total;Total;2011;1892
Næstved;Total;H70 Masters programs;Age, total;Total;2015;2155
Næstved;Total;H70 Masters programs;Age, total;Total;2019;2475
Næstved;Total;H70 Masters programs;Age, total;Total;2022;2760
Odsherred;Total;H70 Masters programs;Age, total;Total;2008;590
Odsherred;Total;H70 Masters programs;Age, total;Total;2011;615
Odsherred;Total;H70 Masters programs;Age, total;Total;2015;673
Odsherred;Total;H70 Masters programs;Age, total;Total;2019;773
Odsherred;Total;H70 Masters programs;Age, total;Total;2022;857
Ringsted;Total;H70 Masters programs;Age, total;Total;2008;884
Ringsted;Total;H70 Masters programs;Age, total;Total;2011;961
Ringsted;Total;H70 Masters programs;Age, total;Total;2015;1175
Ringsted;Total;H70 Masters programs;Age, total;Total;2019;1403
Ringsted;Total;H70 Masters programs;Age, total;Total;2022;1660
