BOPAEGT1;BOPAEGT2;ALDERAEGT1;ALDERAEGT2;AGTVAR;TID;INDHOLD
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2020;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2021;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2022;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2023;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2024;0
Gentofte;All Denmark;Under 15 years;Under 15 years;Under 1 year;2025;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2007;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2008;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2009;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2010;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2011;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2012;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2013;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2014;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2015;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2016;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2017;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2018;0
Gladsaxe;All Denmark;Under 15 years;Under 15 years;Under 1 year;2019;0
