OMRÅDE;OVERTRÆD;TID;INDHOLD
Copenhagen;Nature of the offence, total;2020Q4;17747
Copenhagen;Nature of the offence, total;2021Q1;16732
Copenhagen;Nature of the offence, total;2021Q2;16047
Copenhagen;Nature of the offence, total;2021Q3;18935
Copenhagen;Nature of the offence, total;2021Q4;18453
Copenhagen;Nature of the offence, total;2022Q1;17662
Copenhagen;Nature of the offence, total;2022Q2;19961
Copenhagen;Nature of the offence, total;2022Q3;21319
Copenhagen;Nature of the offence, total;2022Q4;22274
Copenhagen;Nature of the offence, total;2023Q1;23017
Copenhagen;Nature of the offence, total;2023Q2;22363
Copenhagen;Nature of the offence, total;2023Q3;22195
Copenhagen;Nature of the offence, total;2023Q4;20403
Copenhagen;Nature of the offence, total;2024Q1;19324
Copenhagen;Nature of the offence, total;2024Q2;23761
Copenhagen;Nature of the offence, total;2024Q3;21861
Copenhagen;Nature of the offence, total;2024Q4;21101
Copenhagen;Nature of the offence, total;2025Q1;20631
Copenhagen;Nature of the offence, total;2025Q2;19704
Copenhagen;Nature of the offence, total;2025Q3;19002
Copenhagen;Nature of the offence, total;2025Q4;18690
Frederiksberg;Nature of the offence, total;2007Q1;1907
Frederiksberg;Nature of the offence, total;2007Q2;2085
Frederiksberg;Nature of the offence, total;2007Q3;1996
Frederiksberg;Nature of the offence, total;2007Q4;2161
Frederiksberg;Nature of the offence, total;2008Q1;1801
Frederiksberg;Nature of the offence, total;2008Q2;1865
Frederiksberg;Nature of the offence, total;2008Q3;2060
Frederiksberg;Nature of the offence, total;2008Q4;2245
Frederiksberg;Nature of the offence, total;2009Q1;1845
Frederiksberg;Nature of the offence, total;2009Q2;1929
Frederiksberg;Nature of the offence, total;2009Q3;2143
Frederiksberg;Nature of the offence, total;2009Q4;2322
Frederiksberg;Nature of the offence, total;2010Q1;2072
Frederiksberg;Nature of the offence, total;2010Q2;2177
Frederiksberg;Nature of the offence, total;2010Q3;2257
Frederiksberg;Nature of the offence, total;2010Q4;2303
Frederiksberg;Nature of the offence, total;2011Q1;2033
Frederiksberg;Nature of the offence, total;2011Q2;2351
Frederiksberg;Nature of the offence, total;2011Q3;2591
Frederiksberg;Nature of the offence, total;2011Q4;2762
Frederiksberg;Nature of the offence, total;2012Q1;2416
Frederiksberg;Nature of the offence, total;2012Q2;2404
Frederiksberg;Nature of the offence, total;2012Q3;2578
Frederiksberg;Nature of the offence, total;2012Q4;2609
Frederiksberg;Nature of the offence, total;2013Q1;2201
Frederiksberg;Nature of the offence, total;2013Q2;2571
Frederiksberg;Nature of the offence, total;2013Q3;2619
Frederiksberg;Nature of the offence, total;2013Q4;2519
Frederiksberg;Nature of the offence, total;2014Q1;2356
Frederiksberg;Nature of the offence, total;2014Q2;2159
Frederiksberg;Nature of the offence, total;2014Q3;2237
Frederiksberg;Nature of the offence, total;2014Q4;2459
Frederiksberg;Nature of the offence, total;2015Q1;1937
Frederiksberg;Nature of the offence, total;2015Q2;2209
