VALRES;OMRÅDE;TID;INDHOLD
VALID VOTES;Kolding;2011;56449
VALID VOTES;Kolding;2015;55554
VALID VOTES;Kolding;2019;55980
VALID VOTES;Kolding;2022;55655
VALID VOTES;Sønderborg;2007;48172
VALID VOTES;Sønderborg;2011;47509
VALID VOTES;Sønderborg;2015;46396
VALID VOTES;Sønderborg;2019;44878
VALID VOTES;Sønderborg;2022;43376
VALID VOTES;Tønder;2007;24706
VALID VOTES;Tønder;2011;24506
VALID VOTES;Tønder;2015;23660
VALID VOTES;Tønder;2019;22105
VALID VOTES;Tønder;2022;21372
VALID VOTES;Varde;2007;31422
VALID VOTES;Varde;2011;31771
VALID VOTES;Varde;2015;31545
VALID VOTES;Varde;2019;30444
VALID VOTES;Varde;2022;30065
VALID VOTES;Vejen;2007;26119
VALID VOTES;Vejen;2011;26803
VALID VOTES;Vejen;2015;26478
VALID VOTES;Vejen;2019;25448
VALID VOTES;Vejen;2022;25145
VALID VOTES;Vejle;2007;65594
VALID VOTES;Vejle;2011;67996
VALID VOTES;Vejle;2015;68233
VALID VOTES;Vejle;2019;69159
VALID VOTES;Vejle;2022;70546
VALID VOTES;Aabenraa;2007;36670
VALID VOTES;Aabenraa;2011;36540
VALID VOTES;Aabenraa;2015;35824
VALID VOTES;Aabenraa;2019;34337
VALID VOTES;Aabenraa;2022;33608
VALID VOTES;Favrskov;2007;28466
VALID VOTES;Favrskov;2011;29957
VALID VOTES;Favrskov;2015;29863
VALID VOTES;Favrskov;2019;29872
VALID VOTES;Favrskov;2022;30284
VALID VOTES;Hedensted;2007;28775
VALID VOTES;Hedensted;2011;29562
VALID VOTES;Hedensted;2015;29483
VALID VOTES;Hedensted;2019;28999
VALID VOTES;Hedensted;2022;29285
VALID VOTES;Horsens;2007;49907
VALID VOTES;Horsens;2011;51880
VALID VOTES;Horsens;2015;52189
VALID VOTES;Horsens;2019;52515
VALID VOTES;Horsens;2022;54257
VALID VOTES;Norddjurs;2007;24090
VALID VOTES;Norddjurs;2011;24347
VALID VOTES;Norddjurs;2015;24195
VALID VOTES;Norddjurs;2019;22923
VALID VOTES;Norddjurs;2022;22710
VALID VOTES;Odder;2007;14012
VALID VOTES;Odder;2011;14372
VALID VOTES;Odder;2015;14357
VALID VOTES;Odder;2019;14665
VALID VOTES;Odder;2022;15107
VALID VOTES;Randers;2007;59570
VALID VOTES;Randers;2011;61496
VALID VOTES;Randers;2015;60554
VALID VOTES;Randers;2019;59621
VALID VOTES;Randers;2022;60047
VALID VOTES;Samsø;2007;2703
VALID VOTES;Samsø;2011;2652
VALID VOTES;Samsø;2015;2470
VALID VOTES;Samsø;2019;2441
VALID VOTES;Samsø;2022;2516
VALID VOTES;Silkeborg;2007;55913
VALID VOTES;Silkeborg;2011;57539
VALID VOTES;Silkeborg;2015;57274
VALID VOTES;Silkeborg;2019;58785
VALID VOTES;Silkeborg;2022;61833
VALID VOTES;Skanderborg;2007;35549
VALID VOTES;Skanderborg;2011;37038
VALID VOTES;Skanderborg;2015;37529
VALID VOTES;Skanderborg;2019;39183
VALID VOTES;Skanderborg;2022;40498
VALID VOTES;Syddjurs;2007;26354
VALID VOTES;Syddjurs;2011;27269
VALID VOTES;Syddjurs;2015;26979
VALID VOTES;Syddjurs;2019;27166
VALID VOTES;Syddjurs;2022;28034
VALID VOTES;Aarhus;2007;192973
VALID VOTES;Aarhus;2011;203902
VALID VOTES;Aarhus;2015;206686
VALID VOTES;Aarhus;2019;218677
VALID VOTES;Aarhus;2022;223627
VALID VOTES;Herning;2007;53573
VALID VOTES;Herning;2011;54806
VALID VOTES;Herning;2015;54748
VALID VOTES;Herning;2019;54860
VALID VOTES;Herning;2022;54286
VALID VOTES;Holstebro;2007;36542
VALID VOTES;Holstebro;2011;37050
VALID VOTES;Holstebro;2015;36727
VALID VOTES;Holstebro;2019;36704
VALID VOTES;Holstebro;2022;36384
VALID VOTES;Ikast-Brande;2007;24776
VALID VOTES;Ikast-Brande;2011;25297
VALID VOTES;Ikast-Brande;2015;25002
