VALRES;OMRÅDE;TID;INDHOLD
Total;Vejen;2022;100.0
Total;Vejle;2007;100.0
Total;Vejle;2011;100.0
Total;Vejle;2015;100.0
Total;Vejle;2019;100.0
Total;Vejle;2022;100.0
Total;Aabenraa;2007;100.0
Total;Aabenraa;2011;100.0
Total;Aabenraa;2015;100.0
Total;Aabenraa;2019;100.0
Total;Aabenraa;2022;100.0
Total;Favrskov;2007;100.0
Total;Favrskov;2011;100.0
Total;Favrskov;2015;100.0
Total;Favrskov;2019;100.0
Total;Favrskov;2022;100.0
Total;Hedensted;2007;100.0
Total;Hedensted;2011;100.0
Total;Hedensted;2015;100.0
Total;Hedensted;2019;100.0
Total;Hedensted;2022;100.0
Total;Horsens;2007;100.0
Total;Horsens;2011;100.0
Total;Horsens;2015;100.0
Total;Horsens;2019;100.0
Total;Horsens;2022;100.0
Total;Norddjurs;2007;100.0
Total;Norddjurs;2011;100.0
Total;Norddjurs;2015;100.0
Total;Norddjurs;2019;100.0
Total;Norddjurs;2022;100.0
Total;Odder;2007;100.0
Total;Odder;2011;100.0
Total;Odder;2015;100.0
Total;Odder;2019;100.0
Total;Odder;2022;100.0
Total;Randers;2007;100.0
Total;Randers;2011;100.0
Total;Randers;2015;100.0
Total;Randers;2019;100.0
Total;Randers;2022;100.0
Total;Samsø;2007;100.0
Total;Samsø;2011;100.0
Total;Samsø;2015;100.0
Total;Samsø;2019;100.0
Total;Samsø;2022;100.0
Total;Silkeborg;2007;100.0
Total;Silkeborg;2011;100.0
Total;Silkeborg;2015;100.0
Total;Silkeborg;2019;100.0
Total;Silkeborg;2022;100.0
Total;Skanderborg;2007;100.0
Total;Skanderborg;2011;100.0
Total;Skanderborg;2015;100.0
Total;Skanderborg;2019;100.0
Total;Skanderborg;2022;100.0
Total;Syddjurs;2007;100.0
Total;Syddjurs;2011;100.0
Total;Syddjurs;2015;100.0
Total;Syddjurs;2019;100.0
Total;Syddjurs;2022;100.0
Total;Aarhus;2007;100.0
Total;Aarhus;2011;100.0
Total;Aarhus;2015;100.0
Total;Aarhus;2019;100.0
Total;Aarhus;2022;100.0
Total;Herning;2007;100.0
Total;Herning;2011;100.0
Total;Herning;2015;100.0
Total;Herning;2019;100.0
Total;Herning;2022;100.0
Total;Holstebro;2007;100.0
Total;Holstebro;2011;100.0
Total;Holstebro;2015;100.0
Total;Holstebro;2019;100.0
Total;Holstebro;2022;100.0
Total;Ikast-Brande;2007;100.0
Total;Ikast-Brande;2011;100.0
Total;Ikast-Brande;2015;100.0
Total;Ikast-Brande;2019;100.0
Total;Ikast-Brande;2022;100.0
Total;Lemvig;2007;100.0
Total;Lemvig;2011;100.0
Total;Lemvig;2015;100.0
Total;Lemvig;2019;100.0
Total;Lemvig;2022;100.0
Total;Ringkøbing-Skjern;2007;100.0
Total;Ringkøbing-Skjern;2011;100.0
Total;Ringkøbing-Skjern;2015;100.0
Total;Ringkøbing-Skjern;2019;100.0
Total;Ringkøbing-Skjern;2022;100.0
Total;Skive;2007;100.0
Total;Skive;2011;100.0
Total;Skive;2015;100.0
Total;Skive;2019;100.0
Total;Skive;2022;100.0
Total;Struer;2007;100.0
Total;Struer;2011;100.0
Total;Struer;2015;100.0
Total;Struer;2019;100.0
Total;Struer;2022;100.0
Total;Viborg;2007;100.0
Total;Viborg;2011;100.0
Total;Viborg;2015;100.0
Total;Viborg;2019;100.0
Total;Viborg;2022;100.0
Total;Brønderslev;2007;100.0
Total;Brønderslev;2011;100.0
Total;Brønderslev;2015;100.0
Total;Brønderslev;2019;100.0
Total;Brønderslev;2022;100.0
Total;Frederikshavn;2007;100.0
Total;Frederikshavn;2011;100.0
Total;Frederikshavn;2015;100.0
Total;Frederikshavn;2019;100.0
Total;Frederikshavn;2022;100.0
Total;Hjørring;2007;100.0
Total;Hjørring;2011;100.0
Total;Hjørring;2015;100.0
Total;Hjørring;2019;100.0
Total;Hjørring;2022;100.0
Total;Jammerbugt;2007;100.0
Total;Jammerbugt;2011;100.0
Total;Jammerbugt;2015;100.0
Total;Jammerbugt;2019;100.0
Total;Jammerbugt;2022;100.0
Total;Læsø;2007;100.0
Total;Læsø;2011;100.0
Total;Læsø;2015;100.0
Total;Læsø;2019;100.0
Total;Læsø;2022;100.0
Total;Mariagerfjord;2007;100.0
Total;Mariagerfjord;2011;100.0
Total;Mariagerfjord;2015;100.0
Total;Mariagerfjord;2019;100.0
Total;Mariagerfjord;2022;100.0
