municipality,year,value
Langeland,2011,26.3
Lejre,2011,27.8
Lemvig,2011,20.6
Lolland,2011,25.5
Lyngby-Taarbæk,2011,13.6
Læsø,2011,24.1
Mariagerfjord,2011,22.8
Middelfart,2011,24.5
Morsø,2011,17.7
Norddjurs,2011,22.2
Nordfyns,2011,22.6
Nyborg,2011,23.5
Næstved,2011,27.2
Odder,2011,21.2
Odense,2011,19.1
Odsherred,2011,25.3
Randers,2011,22.5
Rebild,2011,25.8
Ringkøbing-Skjern,2011,20.0
Ringsted,2011,27.6
Roskilde,2011,20.7
Rudersdal,2011,17.6
Rødovre,2011,10.7
Samsø,2011,17.8
Silkeborg,2011,22.6
Skanderborg,2011,23.5
Skive,2011,20.2
Slagelse,2011,27.4
Solrød,2011,22.8
Sorø,2011,29.1
Stevns,2011,29.1
Struer,2011,19.3
Svendborg,2011,22.7
Syddjurs,2011,26.6
Sønderborg,2011,18.0
Thisted,2011,17.8
Tårnby,2011,11.6
Tønder,2011,23.4
Vallensbæk,2011,14.3
Varde,2011,21.7
Vejen,2011,22.9
Vejle,2011,22.8
Vesthimmerlands,2011,21.4
Viborg,2011,21.1
Vordingborg,2011,31.9
Ærø,2011,23.0
Aabenraa,2012,22.4
Aalborg,2012,21.6
Aarhus,2012,19.4
Albertslund,2012,12.5
Allerød,2012,19.1
Assens,2012,24.1
Ballerup,2012,13.3
Billund,2012,19.4
Bornholm,2012,21.7
Brøndby,2012,12.6
Brønderslev,2012,24.4
Copenhagen,2012,12.4
Dragør,2012,17.0
Egedal,2012,19.2
Esbjerg,2012,18.2
Faaborg-Midtfyn,2012,23.1
Fanø,2012,21.9
Favrskov,2012,23.0
Faxe,2012,30.6
Fredensborg,2012,21.5
Fredericia,2012,21.5
Frederiksberg,2012,11.8
Frederikshavn,2012,23.3
Frederikssund,2012,22.6
Furesø,2012,16.0
Gentofte,2012,13.4
Gladsaxe,2012,11.7
Glostrup,2012,11.7
Greve,2012,18.9
Gribskov,2012,25.6
Guldborgsund,2012,28.2
Haderslev,2012,23.8
Halsnæs,2012,24.4
Hedensted,2012,21.9
Helsingør,2012,21.1
Herlev,2012,11.1
Herning,2012,19.4
Hillerød,2012,19.7
Hjørring,2012,22.4
Holbæk,2012,26.7
Holstebro,2012,20.4
Horsens,2012,20.3
Hvidovre,2012,12.3
Høje-Taastrup,2012,16.3
Hørsholm,2012,20.3
Ikast-Brande,2012,20.5
Ishøj,2012,14.8
Jammerbugt,2012,26.0
Kalundborg,2012,24.9
Kerteminde,2012,21.8
Kolding,2012,22.1
Køge,2012,24.4
Langeland,2012,26.7
Lejre,2012,28.0
Lemvig,2012,21.8
Lolland,2012,25.3
Lyngby-Taarbæk,2012,13.9
Læsø,2012,28.3
Mariagerfjord,2012,23.5
Middelfart,2012,25.2
Morsø,2012,18.4
Norddjurs,2012,23.1
Nordfyns,2012,22.8
Nyborg,2012,24.5
Næstved,2012,27.4
Odder,2012,22.2
Odense,2012,19.7
Odsherred,2012,25.7
Randers,2012,22.1
Rebild,2012,26.3
Ringkøbing-Skjern,2012,20.2
Ringsted,2012,27.7
Roskilde,2012,21.1
Rudersdal,2012,18.1
Rødovre,2012,10.9
Samsø,2012,16.0
Silkeborg,2012,22.6
Skanderborg,2012,23.5
Skive,2012,20.9
Slagelse,2012,27.8
Solrød,2012,23.5
Sorø,2012,29.8
Stevns,2012,29.5
Struer,2012,19.4
Svendborg,2012,22.4
Syddjurs,2012,28.0
Sønderborg,2012,17.9
Thisted,2012,18.5
Tårnby,2012,12.0
Tønder,2012,22.8
Vallensbæk,2012,14.6
Varde,2012,21.4
Vejen,2012,23.8
Vejle,2012,23.3
Vesthimmerlands,2012,22.3
Viborg,2012,21.3
