municipality,year,value
Halsnæs,2013,62.97
Hedensted,2013,78.3
Helsingør,2013,34.96
Herlev,2013,24.44
Herning,2013,56.47
Hillerød,2013,45.88
Hjørring,2013,66.6
Holbæk,2013,55.58
Holstebro,2013,56.03
Horsens,2013,51.59
Hvidovre,2013,28.95
Høje-Taastrup,2013,27.92
Hørsholm,2013,36.0
Ikast-Brande,2013,66.82
Ishøj,2013,19.62
Jammerbugt,2013,78.23
Kalundborg,2013,63.84
Kerteminde,2013,63.89
Kolding,2013,51.95
Køge,2013,49.52
Langeland,2013,68.53
Lejre,2013,76.01
Lemvig,2013,72.32
Lolland,2013,64.47
Lyngby-Taarbæk,2013,23.55
Læsø,2013,83.93
Mariagerfjord,2013,67.34
Middelfart,2013,65.51
Morsø,2013,70.8
Norddjurs,2013,65.34
Nordfyns,2013,74.81
Nyborg,2013,55.8
Næstved,2013,53.48
Odder,2013,61.31
Odense,2013,32.43
Odsherred,2013,69.14
Randers,2013,48.32
Rebild,2013,76.96
Ringkøbing-Skjern,2013,71.07
Ringsted,2013,49.97
Roskilde,2013,41.61
Rudersdal,2013,43.25
Rødovre,2013,22.35
Samsø,2013,80.07
Silkeborg,2013,59.21
Skanderborg,2013,62.0
Skive,2013,64.97
Slagelse,2013,44.78
Solrød,2013,55.33
Sorø,2013,63.53
Stevns,2013,73.5
Struer,2013,64.46
Svendborg,2013,55.48
Syddjurs,2013,71.75
Sønderborg,2013,54.87
Thisted,2013,71.34
Tårnby,2013,37.55
Tønder,2013,70.38
Vallensbæk,2013,32.95
Varde,2013,70.97
Vejen,2013,71.11
Vejle,2013,55.53
Vesthimmerlands,2013,70.83
Viborg,2013,62.32
Vordingborg,2013,63.15
Ærø,2013,73.4
Aabenraa,2014,62.89
Aalborg,2014,37.21
Aarhus,2014,25.36
Albertslund,2014,12.88
Allerød,2014,54.91
Assens,2014,70.77
Ballerup,2014,28.4
Billund,2014,66.0
Bornholm,2014,61.75
Brøndby,2014,20.96
Brønderslev,2014,71.45
Copenhagen,2014,5.09
Dragør,2014,52.98
Egedal,2014,56.64
Esbjerg,2014,49.56
Faaborg-Midtfyn,2014,71.16
Fanø,2014,59.95
Favrskov,2014,71.27
Faxe,2014,65.95
Fredensborg,2014,35.38
Fredericia,2014,43.8
Frederiksberg,2014,1.84
Frederikshavn,2014,61.06
Frederikssund,2014,55.41
Furesø,2014,38.52
Gentofte,2014,30.95
Gladsaxe,2014,21.56
Glostrup,2014,24.4
Greve,2014,50.24
Gribskov,2014,72.83
Guldborgsund,2014,61.49
Haderslev,2014,57.11
Halsnæs,2014,62.8
Hedensted,2014,78.21
Helsingør,2014,34.53
Herlev,2014,23.87
Herning,2014,56.23
Hillerød,2014,45.63
Hjørring,2014,66.47
Holbæk,2014,55.84
Holstebro,2014,55.94
Horsens,2014,51.3
Hvidovre,2014,28.84
Høje-Taastrup,2014,27.87
Hørsholm,2014,35.85
Ikast-Brande,2014,66.59
Ishøj,2014,19.36
Jammerbugt,2014,77.94
Kalundborg,2014,63.72
Kerteminde,2014,63.67
Kolding,2014,51.8
Køge,2014,48.99
Langeland,2014,68.37
Lejre,2014,75.84
Lemvig,2014,72.59
Lolland,2014,65.1
Lyngby-Taarbæk,2014,23.47
Læsø,2014,82.94
Mariagerfjord,2014,67.3
Middelfart,2014,65.45
Morsø,2014,70.87
Norddjurs,2014,64.89
Nordfyns,2014,74.76
Nyborg,2014,55.56
Næstved,2014,53.46
Odder,2014,60.41
Odense,2014,32.24
Odsherred,2014,68.52
Randers,2014,48.16
Rebild,2014,76.97
Ringkøbing-Skjern,2014,70.93
Ringsted,2014,50.03
Roskilde,2014,41.46
Rudersdal,2014,43.3
Rødovre,2014,22.36
Samsø,2014,79.96
Silkeborg,2014,58.99
Skanderborg,2014,61.81
Skive,2014,64.76
Slagelse,2014,44.91
Solrød,2014,54.63
Sorø,2014,63.36
Stevns,2014,73.22
Struer,2014,64.52
Svendborg,2014,55.35
Syddjurs,2014,71.55
Sønderborg,2014,55.18
Thisted,2014,71.34
Tårnby,2014,37.56
Tønder,2014,70.6
Vallensbæk,2014,32.45
Varde,2014,70.71
Vejen,2014,70.72
Vejle,2014,55.0
Vesthimmerlands,2014,70.76
Viborg,2014,62.02
Vordingborg,2014,62.9
Ærø,2014,73.67
Aabenraa,2015,62.48
Aalborg,2015,36.96
Aarhus,2015,25.29
Albertslund,2015,12.84
Allerød,2015,54.76
Assens,2015,70.7
Ballerup,2015,28.41
Billund,2015,65.89
Bornholm,2015,61.68
Brøndby,2015,20.89
Brønderslev,2015,71.29
Copenhagen,2015,5.05
Dragør,2015,52.84
Egedal,2015,56.33
Esbjerg,2015,49.41
Faaborg-Midtfyn,2015,71.02
Fanø,2015,60.18
Favrskov,2015,71.0
Faxe,2015,65.91
Fredensborg,2015,35.21
Fredericia,2015,43.69
Frederiksberg,2015,1.85
