municipality,year,value
Gladsaxe,2010,5.36
Glostrup,2010,6.38
Greve,2010,4.85
Gribskov,2010,5.13
Guldborgsund,2010,6.43
Haderslev,2010,6.46
Halsnæs,2010,7.08
Hedensted,2010,5.13
Helsingør,2010,5.6
Herlev,2010,5.86
Herning,2010,5.47
Hillerød,2010,4.58
Hjørring,2010,7.22
Holbæk,2010,5.67
Holstebro,2010,5.31
Horsens,2010,6.83
Hvidovre,2010,5.42
Høje-Taastrup,2010,7.19
Hørsholm,2010,3.16
Ikast-Brande,2010,6.85
Ishøj,2010,10.02
Jammerbugt,2010,6.38
Kalundborg,2010,6.49
Kerteminde,2010,7.57
Kolding,2010,5.94
Køge,2010,6.29
Langeland,2010,7.16
Lejre,2010,3.97
Lemvig,2010,4.88
Lolland,2010,9.18
Lyngby-Taarbæk,2010,3.64
Læsø,2010,8.64
Mariagerfjord,2010,6.41
Middelfart,2010,5.38
Morsø,2010,8.19
Norddjurs,2010,6.38
Nordfyns,2010,7.55
Nyborg,2010,6.71
Næstved,2010,6.69
Odder,2010,5.11
Odense,2010,7.32
Odsherred,2010,7.48
Randers,2010,6.72
Rebild,2010,5.98
Ringkøbing-Skjern,2010,5.37
Ringsted,2010,5.8
Roskilde,2010,4.29
Rudersdal,2010,3.29
Rødovre,2010,5.61
Samsø,2010,7.24
Silkeborg,2010,5.52
Skanderborg,2010,4.13
Skive,2010,6.86
Slagelse,2010,7.69
Solrød,2010,4.56
Sorø,2010,5.66
Stevns,2010,6.1
Struer,2010,6.3
Svendborg,2010,6.38
Syddjurs,2010,5.85
Sønderborg,2010,6.4
Thisted,2010,5.48
Tårnby,2010,5.95
Tønder,2010,6.12
Vallensbæk,2010,4.83
Varde,2010,4.53
Vejen,2010,5.43
Vejle,2010,5.07
Vesthimmerlands,2010,6.48
Viborg,2010,5.27
Vordingborg,2010,6.8
Ærø,2010,4.69
Aabenraa,2011,6.48
Aalborg,2011,6.42
Aarhus,2011,5.37
Albertslund,2011,8.1
Allerød,2011,3.0
Assens,2011,7.14
Ballerup,2011,5.11
Billund,2011,3.64
Bornholm,2011,7.42
Brøndby,2011,6.78
Brønderslev,2011,6.21
Copenhagen,2011,7.53
Dragør,2011,3.65
Egedal,2011,3.72
Esbjerg,2011,5.26
Faaborg-Midtfyn,2011,6.64
Fanø,2011,4.13
Favrskov,2011,4.31
Faxe,2011,6.32
Fredensborg,2011,4.46
Fredericia,2011,6.72
Frederiksberg,2011,5.79
Frederikshavn,2011,7.19
Frederikssund,2011,5.08
Furesø,2011,4.15
Gentofte,2011,3.65
Gladsaxe,2011,5.4
Glostrup,2011,6.7
Greve,2011,4.62
Gribskov,2011,5.2
Guldborgsund,2011,6.78
Haderslev,2011,6.02
Halsnæs,2011,7.01
Hedensted,2011,4.02
Helsingør,2011,5.52
Herlev,2011,5.87
Herning,2011,5.32
Hillerød,2011,4.54
Hjørring,2011,7.01
Holbæk,2011,5.37
Holstebro,2011,5.07
Horsens,2011,6.09
Hvidovre,2011,5.33
Høje-Taastrup,2011,7.55
Hørsholm,2011,3.17
Ikast-Brande,2011,6.22
Ishøj,2011,10.12
Jammerbugt,2011,5.79
Kalundborg,2011,6.4
Kerteminde,2011,8.35
Kolding,2011,5.41
Køge,2011,6.48
Langeland,2011,8.07
Lejre,2011,3.9
Lemvig,2011,4.75
Lolland,2011,9.82
Lyngby-Taarbæk,2011,3.98
Læsø,2011,9.6
Mariagerfjord,2011,5.55
Middelfart,2011,4.97
Morsø,2011,7.32
Norddjurs,2011,5.97
Nordfyns,2011,7.44
Nyborg,2011,7.09
Næstved,2011,6.69
Odder,2011,4.8
Odense,2011,7.65
Odsherred,2011,7.07
Randers,2011,6.18
Rebild,2011,5.13
Ringkøbing-Skjern,2011,4.82
Ringsted,2011,5.91
Roskilde,2011,4.34
Rudersdal,2011,3.52
Rødovre,2011,5.88
Samsø,2011,6.18
Silkeborg,2011,5.49
Skanderborg,2011,3.8
Skive,2011,5.93
Slagelse,2011,8.06
Solrød,2011,4.36
Sorø,2011,5.87
Stevns,2011,6.04
Struer,2011,6.2
Svendborg,2011,6.78
Syddjurs,2011,5.58
Sønderborg,2011,5.78
Thisted,2011,4.94
Tårnby,2011,5.87
Tønder,2011,6.17
Vallensbæk,2011,5.11
Varde,2011,4.16
Vejen,2011,4.62
Vejle,2011,4.9
Vesthimmerlands,2011,6.28
Viborg,2011,5.05
Vordingborg,2011,6.31
Ærø,2011,4.38
Aabenraa,2012,6.91
Aalborg,2012,6.37
Aarhus,2012,5.69
Albertslund,2012,8.54
Allerød,2012,2.92
Assens,2012,7.28
Ballerup,2012,5.54
Billund,2012,3.89
Bornholm,2012,7.45
Brøndby,2012,7.32
Brønderslev,2012,5.97
Copenhagen,2012,7.62
Dragør,2012,3.62
Egedal,2012,3.85
Esbjerg,2012,5.54
Faaborg-Midtfyn,2012,6.75
Fanø,2012,4.42
Favrskov,2012,4.55
Faxe,2012,6.62
Fredensborg,2012,4.48
Fredericia,2012,7.08
Frederiksberg,2012,5.91
Frederikshavn,2012,6.76
Frederikssund,2012,5.22
Furesø,2012,4.23
Gentofte,2012,3.85
Gladsaxe,2012,5.48
Glostrup,2012,6.38
Greve,2012,4.8
Gribskov,2012,5.0
Guldborgsund,2012,6.67
Haderslev,2012,6.48
Halsnæs,2012,7.08
Hedensted,2012,4.03
Helsingør,2012,5.62
Herlev,2012,6.31
Herning,2012,5.55
Hillerød,2012,4.45
Hjørring,2012,6.92
Holbæk,2012,5.2
Holstebro,2012,4.9
Horsens,2012,5.92
Hvidovre,2012,5.55
Høje-Taastrup,2012,7.82
Hørsholm,2012,3.41
Ikast-Brande,2012,5.81
Ishøj,2012,10.66
Jammerbugt,2012,6.13
Kalundborg,2012,6.78
Kerteminde,2012,8.71
Kolding,2012,5.57
Køge,2012,6.48
Langeland,2012,8.17
Lejre,2012,3.8
Lemvig,2012,4.84
Lolland,2012,10.0
Lyngby-Taarbæk,2012,3.98
Læsø,2012,8.78
Mariagerfjord,2012,5.78
Middelfart,2012,5.19
Morsø,2012,6.39
Norddjurs,2012,6.3
Nordfyns,2012,7.18
Nyborg,2012,7.02
Næstved,2012,6.69
Odder,2012,4.77
Odense,2012,7.96
Odsherred,2012,6.98
Randers,2012,6.2
Rebild,2012,4.5
Ringkøbing-Skjern,2012,4.53
Ringsted,2012,6.16
Roskilde,2012,4.52
Rudersdal,2012,3.53
Rødovre,2012,5.86
Samsø,2012,6.4
Silkeborg,2012,5.54
Skanderborg,2012,3.74
Skive,2012,5.59
Slagelse,2012,8.31
Solrød,2012,4.42
Sorø,2012,5.89
Stevns,2012,6.11
Struer,2012,6.54
Svendborg,2012,7.09
Syddjurs,2012,5.4
Sønderborg,2012,6.17
Thisted,2012,4.76
Tårnby,2012,5.77
Tønder,2012,5.98
Vallensbæk,2012,5.2
Varde,2012,4.25
Vejen,2012,4.83
Vejle,2012,5.11
Vesthimmerlands,2012,5.92
Viborg,2012,5.12
Vordingborg,2012,6.4
Ærø,2012,5.11
Aabenraa,2013,6.53
Aalborg,2013,6.12
Aarhus,2013,5.66
Albertslund,2013,8.33
Allerød,2013,2.59
Assens,2013,6.57
Ballerup,2013,6.03
Billund,2013,3.9
Bornholm,2013,7.07
Brøndby,2013,7.64
Brønderslev,2013,5.44
Copenhagen,2013,7.35
Dragør,2013,3.51
Egedal,2013,3.74
Esbjerg,2013,5.55
Faaborg-Midtfyn,2013,6.12
Fanø,2013,4.18
Favrskov,2013,4.27
Faxe,2013,6.04
Fredensborg,2013,4.53
Fredericia,2013,6.47
Frederiksberg,2013,5.79
Frederikshavn,2013,5.93
Frederikssund,2013,5.41
Furesø,2013,4.17
Gentofte,2013,3.72
Gladsaxe,2013,5.69
Glostrup,2013,6.29
Greve,2013,4.64
Gribskov,2013,5.07
Guldborgsund,2013,6.88
Haderslev,2013,5.74
Halsnæs,2013,6.63
Hedensted,2013,3.91
Helsingør,2013,5.42
Herlev,2013,6.21
Herning,2013,5.29
Hillerød,2013,4.05
Hjørring,2013,6.02
Holbæk,2013,4.78
Holstebro,2013,4.3
Horsens,2013,5.69
Hvidovre,2013,5.23
Høje-Taastrup,2013,7.73
Hørsholm,2013,3.08
Ikast-Brande,2013,5.73
Ishøj,2013,10.83
Jammerbugt,2013,5.63
Kalundborg,2013,6.35
Kerteminde,2013,6.87
Kolding,2013,5.23
Køge,2013,5.89
Langeland,2013,7.6
Lejre,2013,3.53
Lemvig,2013,4.48
Lolland,2013,9.17
Lyngby-Taarbæk,2013,3.88
Læsø,2013,8.54
Mariagerfjord,2013,5.46
Middelfart,2013,4.58
Morsø,2013,5.35
Norddjurs,2013,5.81
Nordfyns,2013,6.16
Nyborg,2013,6.21
Næstved,2013,6.32
Odder,2013,4.35
Odense,2013,7.35
Odsherred,2013,6.42
Randers,2013,5.86
Rebild,2013,4.21
Ringkøbing-Skjern,2013,4.7
Ringsted,2013,5.92
Roskilde,2013,4.4
Rudersdal,2013,3.36
Rødovre,2013,5.67
Samsø,2013,6.65
Silkeborg,2013,5.02
Skanderborg,2013,3.37
Skive,2013,4.58
Slagelse,2013,7.3
Solrød,2013,4.12
Sorø,2013,5.71
Stevns,2013,5.97
Struer,2013,6.13
Svendborg,2013,6.76
Syddjurs,2013,4.94
Sønderborg,2013,6.1
Thisted,2013,4.32
Tårnby,2013,5.68
Tønder,2013,6.09
Vallensbæk,2013,5.34
Varde,2013,4.08
Vejen,2013,4.83
Vejle,2013,5.04
Vesthimmerlands,2013,5.93
Viborg,2013,4.69
Vordingborg,2013,5.65
Ærø,2013,5.66
Aabenraa,2014,5.24
Aalborg,2014,6.14
Aarhus,2014,5.09
Albertslund,2014,7.22
Allerød,2014,2.33
Assens,2014,5.3
Ballerup,2014,5.32
Billund,2014,3.48
Bornholm,2014,6.29
Brøndby,2014,6.64
Brønderslev,2014,4.65
Copenhagen,2014,6.36
Dragør,2014,3.32
Egedal,2014,3.18
Esbjerg,2014,4.56
Faaborg-Midtfyn,2014,5.03
Fanø,2014,4.01
Favrskov,2014,3.42
Faxe,2014,5.07
Fredensborg,2014,4.06
Fredericia,2014,5.36
Frederiksberg,2014,5.24
Frederikshavn,2014,5.45
Frederikssund,2014,4.46
Furesø,2014,3.97
Gentofte,2014,3.42
Gladsaxe,2014,5.15
Glostrup,2014,5.65
Greve,2014,4.17
Gribskov,2014,4.04
Guldborgsund,2014,5.76
Haderslev,2014,4.77
Halsnæs,2014,5.28
Hedensted,2014,3.28
Helsingør,2014,4.9
Herlev,2014,5.45
Herning,2014,4.28
Hillerød,2014,3.64
Hjørring,2014,5.34
Holbæk,2014,4.24
Holstebro,2014,3.51
Horsens,2014,4.58
Hvidovre,2014,4.82
Høje-Taastrup,2014,6.93
Hørsholm,2014,2.89
Ikast-Brande,2014,4.82
Ishøj,2014,9.58
Jammerbugt,2014,4.75
Kalundborg,2014,5.09
Kerteminde,2014,5.11
Kolding,2014,4.57
Køge,2014,4.99
Langeland,2014,5.99
Lejre,2014,3.08
Lemvig,2014,3.28
Lolland,2014,7.42
Lyngby-Taarbæk,2014,3.44
Læsø,2014,7.26
Mariagerfjord,2014,4.95
Middelfart,2014,3.55
Morsø,2014,4.72
Norddjurs,2014,5.02
Nordfyns,2014,5.01
Nyborg,2014,5.17
Næstved,2014,5.32
Odder,2014,3.43
Odense,2014,6.47
Odsherred,2014,5.94
Randers,2014,5.39
Rebild,2014,3.92
Ringkøbing-Skjern,2014,3.49
Ringsted,2014,4.74
Roskilde,2014,4.02
Rudersdal,2014,3.06
Rødovre,2014,5.19
Samsø,2014,5.82
Silkeborg,2014,4.33
Skanderborg,2014,2.98
Skive,2014,3.57
Slagelse,2014,6.32
Solrød,2014,3.5
Sorø,2014,4.69
Stevns,2014,4.92
Struer,2014,4.92
Svendborg,2014,5.69
Syddjurs,2014,4.14
Sønderborg,2014,4.85
Thisted,2014,3.92
Tårnby,2014,5.18
Tønder,2014,4.99
Vallensbæk,2014,4.88
Varde,2014,3.08
Vejen,2014,3.98
Vejle,2014,4.25
Vesthimmerlands,2014,5.28
Viborg,2014,4.1
Vordingborg,2014,5.32
Ærø,2014,4.53
Aabenraa,2015,4.74
Aalborg,2015,6.02
Aarhus,2015,4.67
Albertslund,2015,6.65
Allerød,2015,2.11
Assens,2015,5.05
Ballerup,2015,4.46
Billund,2015,3.23
Bornholm,2015,5.7
Brøndby,2015,6.11
Brønderslev,2015,4.61
Copenhagen,2015,5.58
Dragør,2015,3.05
Egedal,2015,2.72
Esbjerg,2015,4.39
Faaborg-Midtfyn,2015,4.63
Fanø,2015,4.23
Favrskov,2015,3.06
Faxe,2015,4.5
Fredensborg,2015,3.74
Fredericia,2015,5.02
Frederiksberg,2015,4.83
Frederikshavn,2015,5.28
Frederikssund,2015,3.95
Furesø,2015,3.52
Gentofte,2015,3.14
Gladsaxe,2015,4.52
Glostrup,2015,5.32
Greve,2015,3.68
Gribskov,2015,3.67
Guldborgsund,2015,5.24
Haderslev,2015,4.27
Halsnæs,2015,4.46
Hedensted,2015,3.03
Helsingør,2015,4.48
Herlev,2015,4.59
Herning,2015,3.81
Hillerød,2015,3.26
Hjørring,2015,4.9
Holbæk,2015,3.96
Holstebro,2015,3.28
Horsens,2015,4.08
Hvidovre,2015,4.34
Høje-Taastrup,2015,6.48
Hørsholm,2015,2.8
Ikast-Brande,2015,4.31
Ishøj,2015,8.73
Jammerbugt,2015,4.64
Kalundborg,2015,4.54
Kerteminde,2015,4.86
Kolding,2015,4.14
Køge,2015,4.2
Langeland,2015,5.44
Lejre,2015,2.96
Lemvig,2015,2.87
Lolland,2015,6.5
Lyngby-Taarbæk,2015,3.08
Læsø,2015,6.92
Mariagerfjord,2015,4.56
Middelfart,2015,2.99
Morsø,2015,4.05
Norddjurs,2015,4.37
Nordfyns,2015,4.98
Nyborg,2015,4.52
Næstved,2015,5.02
Odder,2015,3.03
Odense,2015,6.24
Odsherred,2015,5.33
Randers,2015,4.74
Rebild,2015,3.51
Ringkøbing-Skjern,2015,3.05
Ringsted,2015,4.17
Roskilde,2015,3.91
Rudersdal,2015,2.78
Rødovre,2015,4.98
Samsø,2015,5.32
Silkeborg,2015,4.01
Skanderborg,2015,2.62
Skive,2015,3.3
Slagelse,2015,5.92
Solrød,2015,3.18
Sorø,2015,4.18
Stevns,2015,4.2
Struer,2015,4.18
Svendborg,2015,5.18
Syddjurs,2015,3.53
Sønderborg,2015,4.39
Thisted,2015,3.65
Tårnby,2015,4.48
Tønder,2015,4.0
Vallensbæk,2015,4.11
Varde,2015,3.0
Vejen,2015,3.51
Vejle,2015,3.82
Vesthimmerlands,2015,4.93
Viborg,2015,3.79
Vordingborg,2015,5.14
Ærø,2015,4.06
Aabenraa,2016,4.02
Aalborg,2016,5.42
Aarhus,2016,4.44
Albertslund,2016,6.32
Allerød,2016,2.0
Assens,2016,5.01
Ballerup,2016,4.12
Billund,2016,2.59
Bornholm,2016,4.52
Brøndby,2016,5.49
Brønderslev,2016,4.08
Copenhagen,2016,5.04
Dragør,2016,2.56
Egedal,2016,2.7
Esbjerg,2016,3.92
Faaborg-Midtfyn,2016,4.36
Fanø,2016,3.98
Favrskov,2016,2.63
Faxe,2016,4.25
Fredensborg,2016,3.28
Fredericia,2016,4.73
Frederiksberg,2016,4.54
Frederikshavn,2016,5.0
Frederikssund,2016,3.36
Furesø,2016,2.95
Gentofte,2016,2.78
Gladsaxe,2016,3.98
Glostrup,2016,5.0
Greve,2016,3.32
Gribskov,2016,3.42
Guldborgsund,2016,4.57
Haderslev,2016,3.72
Halsnæs,2016,4.25
Hedensted,2016,2.48
Helsingør,2016,3.88
Herlev,2016,3.89
Herning,2016,3.4
Hillerød,2016,2.97
Hjørring,2016,4.35
Holbæk,2016,3.56
Holstebro,2016,3.14
Horsens,2016,3.89
Hvidovre,2016,3.92
Høje-Taastrup,2016,5.76
Hørsholm,2016,2.39
Ikast-Brande,2016,3.66
Ishøj,2016,7.81
Jammerbugt,2016,3.88
Kalundborg,2016,4.02
Kerteminde,2016,4.5
Kolding,2016,3.63
Køge,2016,3.62
Langeland,2016,4.87
Lejre,2016,3.11
Lemvig,2016,3.02
Lolland,2016,5.71
Lyngby-Taarbæk,2016,2.83
Læsø,2016,6.62
Mariagerfjord,2016,4.01
Middelfart,2016,3.19
Morsø,2016,3.28
Norddjurs,2016,4.05
Nordfyns,2016,4.39
Nyborg,2016,4.09
Næstved,2016,4.74
Odder,2016,3.03
Odense,2016,5.99
Odsherred,2016,4.89
Randers,2016,4.18
Rebild,2016,3.36
Ringkøbing-Skjern,2016,2.49
Ringsted,2016,4.06
Roskilde,2016,3.78
Rudersdal,2016,2.59
Rødovre,2016,4.56
Samsø,2016,4.72
Silkeborg,2016,3.54
Skanderborg,2016,2.3
Skive,2016,2.93
Slagelse,2016,4.71
Solrød,2016,2.7
Sorø,2016,3.65
Stevns,2016,3.45
Struer,2016,3.65
Svendborg,2016,4.65
Syddjurs,2016,3.18
Sønderborg,2016,4.12
Thisted,2016,3.12
Tårnby,2016,3.64
Tønder,2016,3.31
Vallensbæk,2016,3.85
Varde,2016,2.6
Vejen,2016,3.2
Vejle,2016,3.33
Vesthimmerlands,2016,4.31
Viborg,2016,3.23
Vordingborg,2016,4.5
Ærø,2016,4.02
Aabenraa,2017,3.94
Aalborg,2017,5.55
Aarhus,2017,4.5
Albertslund,2017,5.66
Allerød,2017,2.52
Assens,2017,4.34
Ballerup,2017,3.79
Billund,2017,2.73
Bornholm,2017,4.56
Brøndby,2017,5.82
Brønderslev,2017,4.31
Copenhagen,2017,4.92
Dragør,2017,2.9
Egedal,2017,2.98
Esbjerg,2017,3.93
Faaborg-Midtfyn,2017,4.34
Fanø,2017,5.25
Favrskov,2017,2.76
Faxe,2017,4.33
Fredensborg,2017,3.38
Fredericia,2017,4.59
Frederiksberg,2017,4.27
Frederikshavn,2017,5.29
Frederikssund,2017,3.62
Furesø,2017,3.07
Gentofte,2017,3.22
Gladsaxe,2017,3.78
Glostrup,2017,4.51
Greve,2017,3.37
Gribskov,2017,3.48
Guldborgsund,2017,4.97
Haderslev,2017,3.88
Halsnæs,2017,4.23
Hedensted,2017,2.48
Helsingør,2017,4.37
Herlev,2017,3.88
Herning,2017,3.6
Hillerød,2017,3.29
Hjørring,2017,4.98
Holbæk,2017,3.72
Holstebro,2017,3.18
Horsens,2017,3.72
Hvidovre,2017,3.93
Høje-Taastrup,2017,5.1
Hørsholm,2017,2.95
Ikast-Brande,2017,4.09
Ishøj,2017,6.9
Jammerbugt,2017,3.78
Kalundborg,2017,4.52
Kerteminde,2017,4.62
Kolding,2017,3.72
Køge,2017,3.81
Langeland,2017,5.59
Lejre,2017,3.2
Lemvig,2017,3.56
Lolland,2017,5.98
Lyngby-Taarbæk,2017,3.07
Læsø,2017,5.47
Mariagerfjord,2017,4.14
Middelfart,2017,3.12
Morsø,2017,3.67
Norddjurs,2017,4.54
Nordfyns,2017,4.88
Nyborg,2017,4.53
Næstved,2017,4.91
Odder,2017,3.53
Odense,2017,5.79
Odsherred,2017,5.42
Randers,2017,4.25
Rebild,2017,3.62
Ringkøbing-Skjern,2017,2.62
Ringsted,2017,3.93
Roskilde,2017,3.55
Rudersdal,2017,3.12
Rødovre,2017,4.65
Samsø,2017,5.42
Silkeborg,2017,3.67
Skanderborg,2017,2.61
Skive,2017,3.23
